source,id,ppc,state,description,detailUrl,imageUrls,thumbnailUrl,type,offerType,condition,developer,project,number,ownership,energyClass,locality,disposition,roomCount,area,areaType,floorArea,usableArea,livingArea,totalArea,floor,gps,address,price,priceType,currency,balconyArea,loggiaArea,terraceArea,gardenArea,cellar,parking
pricelists,5e4ff23629b12d3973bf8393,None,RESERVED,None,https://www.bydleni-beroun.cz/byt/byt-cislo-9,['https://www.bydleni-beroun.cz/static/img/small-slider/small-slider-1.jpg'; 'https://www.bydleni-beroun.cz/static/img/small-slider/small-slider-2.jpg'; 'https://www.bydleni-beroun.cz/static/img/small-slider/small-slider-3.jpg'; 'https://www.bydleni-beroun.cz/static/images/btn-vybaveni-bytu-head.png'; 'https://www.bydleni-beroun.cz/static/images/btn-galerie-bytu-head.png'; 'https://www.bydleni-beroun.cz/media/pages/byty/thumb/slideshow-1.jpg'; 'https://www.bydleni-beroun.cz/media/pages/byty/thumb/slideshow-2.jpg'; 'https://www.bydleni-beroun.cz/media/pages/byty/thumb/slideshow-3.jpg'; 'https://www.bydleni-beroun.cz/media/pages/byty/thumb/slideshow-4.jpg'; 'https://www.bydleni-beroun.cz/media/pages/byty/thumb/slideshow-5.jpg'; 'https://www.bydleni-beroun.cz/media/pages/byty/thumb/slideshow-6.jpg'],https://img.flatzone.cz/5040ba4ec7fed5ea/350x200,FLAT,SALE,NEW,INSKY spol. s r.o.,BYTOVÝ DŮM NAD PALOUČKEM; BEROUN,Byt číslo 9,PRIVATE,B,Nad Paloučkem; 266 01; Beroun,['3kk'],[3],109.1,FLOOR,109.1,None,None,None,3,{'lat': 49.959205; 'lon': 14.0456764},{'address': 'Nad Paloučkem; Beroun; okres Beroun'; 'country': 'Česko'; 'region': 'Středočeský kraj'; 'district': 'Beroun'; 'city': 'Beroun'; 'borough': None; 'neighborhood': 'Beroun-Město'; 'street': 'Nad Paloučkem'; 'houseNumber': None},None,None,None,None,None,15.4,None,True,True
pricelists,5e55381a7caef19155d96086,None,RESERVED,None,https://bytyuparkuberoun.lexxus.cz/,['https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082982ks0s5-lexxus-projekt-beroun-1.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703328qrvt9-03-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703299jlp5y-02-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082732vrx3v-lexxus-projekt-beroun-23.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703359ow7wn-04-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606083207x384g-lexxus-projekt-beroun-30.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606222004t6vve-lexxus-projekt-beroun-28.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703428ptnv9-lexxus-projekt-byty-u-parku-9a9a1810.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1591865464cn2wo-lexxus-projekt-prodej.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703617k5ufx-9a9a6627-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15731333044mgky-9a9a4897-102919.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15657036398xvdc-9a9a6607-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703646ypgmm-9a9a6649-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703663schxi-9a9a6582-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703655597mh-9a9a6669-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703670drmsa-9a9a6586-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/pricelist/unit_lex000123326_1.jpg'],https://img.flatzone.cz/23bacb7c4f5597c2/350x200,FLAT,SALE,NEW,PRECO GROUP s.r.o.,Rezidence Byty u Parku,23,PRIVATE,B,Na Náhonu; 266 01; Beroun,['3+kk'],[3],76.62,USABLE,None,76.62,None,None,2,{'lat': 49.9601136; 'lon': 14.0696603},{'address': 'Na Náhonu 78; Beroun; 266 01; okres Beroun'; 'country': 'Česko'; 'region': 'Středočeský kraj'; 'district': 'Beroun'; 'city': 'Beroun'; 'borough': None; 'neighborhood': 'Beroun-Město'; 'street': 'Na Náhonu'; 'houseNumber': '78'},7360000,total,CZK,9.1,None,None,None,None,None
pricelists,5e55381a7caef19155d96090,None,FREE,None,https://bytyuparkuberoun.lexxus.cz/,['https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082982ks0s5-lexxus-projekt-beroun-1.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703328qrvt9-03-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703299jlp5y-02-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082732vrx3v-lexxus-projekt-beroun-23.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703359ow7wn-04-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606083207x384g-lexxus-projekt-beroun-30.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606222004t6vve-lexxus-projekt-beroun-28.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703428ptnv9-lexxus-projekt-byty-u-parku-9a9a1810.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1591865464cn2wo-lexxus-projekt-prodej.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703617k5ufx-9a9a6627-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15731333044mgky-9a9a4897-102919.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15657036398xvdc-9a9a6607-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703646ypgmm-9a9a6649-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703663schxi-9a9a6582-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703655597mh-9a9a6669-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703670drmsa-9a9a6586-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/pricelist/unit_lex000123331_1.jpg'],https://img.flatzone.cz/23bacb7c4f5597c2/350x200,FLAT,SALE,NEW,PRECO GROUP s.r.o.,Rezidence Byty u Parku,28,PRIVATE,B,Na Náhonu; 266 01; Beroun,['4+kk'],[4],88.3,USABLE,None,88.3,None,None,2,{'lat': 49.9601136; 'lon': 14.0696603},{'address': 'Na Náhonu 78; Beroun; 266 01; okres Beroun'; 'country': 'Česko'; 'region': 'Středočeský kraj'; 'district': 'Beroun'; 'city': 'Beroun'; 'borough': None; 'neighborhood': 'Beroun-Město'; 'street': 'Na Náhonu'; 'houseNumber': '78'},8149999,total,CZK,4.2,None,None,None,None,None
pricelists,5e55381a7caef19155d96092,None,RESERVED,None,https://bytyuparkuberoun.lexxus.cz/,['https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082982ks0s5-lexxus-projekt-beroun-1.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703328qrvt9-03-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703299jlp5y-02-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082732vrx3v-lexxus-projekt-beroun-23.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703359ow7wn-04-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606083207x384g-lexxus-projekt-beroun-30.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606222004t6vve-lexxus-projekt-beroun-28.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703428ptnv9-lexxus-projekt-byty-u-parku-9a9a1810.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1591865464cn2wo-lexxus-projekt-prodej.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703617k5ufx-9a9a6627-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15731333044mgky-9a9a4897-102919.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15657036398xvdc-9a9a6607-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703646ypgmm-9a9a6649-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703663schxi-9a9a6582-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703655597mh-9a9a6669-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703670drmsa-9a9a6586-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/pricelist/unit_lex000123332_1.jpg'],https://img.flatzone.cz/23bacb7c4f5597c2/350x200,FLAT,SALE,NEW,PRECO GROUP s.r.o.,Rezidence Byty u Parku,31,PRIVATE,B,Na Náhonu; 266 01; Beroun,['3+kk'],[3],68.53,USABLE,None,68.53,None,None,3,{'lat': 49.9601136; 'lon': 14.0696603},{'address': 'Na Náhonu 78; Beroun; 266 01; okres Beroun'; 'country': 'Česko'; 'region': 'Středočeský kraj'; 'district': 'Beroun'; 'city': 'Beroun'; 'borough': None; 'neighborhood': 'Beroun-Město'; 'street': 'Na Náhonu'; 'houseNumber': '78'},6749999,total,CZK,4.9,None,None,None,None,None
pricelists,5e55381a7caef19155d960ac,None,RESERVED,None,https://bytyuparkuberoun.lexxus.cz/,['https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082982ks0s5-lexxus-projekt-beroun-1.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703328qrvt9-03-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703299jlp5y-02-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082732vrx3v-lexxus-projekt-beroun-23.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703359ow7wn-04-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606083207x384g-lexxus-projekt-beroun-30.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606222004t6vve-lexxus-projekt-beroun-28.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703428ptnv9-lexxus-projekt-byty-u-parku-9a9a1810.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1591865464cn2wo-lexxus-projekt-prodej.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703617k5ufx-9a9a6627-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15731333044mgky-9a9a4897-102919.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15657036398xvdc-9a9a6607-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703646ypgmm-9a9a6649-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703663schxi-9a9a6582-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703655597mh-9a9a6669-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703670drmsa-9a9a6586-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/pricelist/unit_lex000123345_1.jpg'],https://img.flatzone.cz/23bacb7c4f5597c2/350x200,FLAT,SALE,NEW,PRECO GROUP s.r.o.,Rezidence Byty u Parku,46,PRIVATE,B,Na Náhonu; 266 01; Beroun,['3+kk'],[3],77.35,USABLE,None,77.35,None,None,4,{'lat': 49.9601136; 'lon': 14.0696603},{'address': 'Na Náhonu 78; Beroun; 266 01; okres Beroun'; 'country': 'Česko'; 'region': 'Středočeský kraj'; 'district': 'Beroun'; 'city': 'Beroun'; 'borough': None; 'neighborhood': 'Beroun-Město'; 'street': 'Na Náhonu'; 'houseNumber': '78'},7650000,total,CZK,9.1,None,None,None,None,None
pricelists,5e55381a7caef19155d960b2,None,RESERVED,None,https://bytyuparkuberoun.lexxus.cz/,['https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082982ks0s5-lexxus-projekt-beroun-1.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703328qrvt9-03-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703299jlp5y-02-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082732vrx3v-lexxus-projekt-beroun-23.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703359ow7wn-04-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606083207x384g-lexxus-projekt-beroun-30.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606222004t6vve-lexxus-projekt-beroun-28.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703428ptnv9-lexxus-projekt-byty-u-parku-9a9a1810.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1591865464cn2wo-lexxus-projekt-prodej.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703617k5ufx-9a9a6627-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15731333044mgky-9a9a4897-102919.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15657036398xvdc-9a9a6607-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703646ypgmm-9a9a6649-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703663schxi-9a9a6582-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703655597mh-9a9a6669-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703670drmsa-9a9a6586-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/pricelist/unit_lex000123348_1.jpg'],https://img.flatzone.cz/23bacb7c4f5597c2/350x200,FLAT,SALE,NEW,PRECO GROUP s.r.o.,Rezidence Byty u Parku,51,PRIVATE,B,Na Náhonu; 266 01; Beroun,['3+kk'],[3],66.46,USABLE,None,66.46,None,None,5,{'lat': 49.9601136; 'lon': 14.0696603},{'address': 'Na Náhonu 78; Beroun; 266 01; okres Beroun'; 'country': 'Česko'; 'region': 'Středočeský kraj'; 'district': 'Beroun'; 'city': 'Beroun'; 'borough': None; 'neighborhood': 'Beroun-Město'; 'street': 'Na Náhonu'; 'houseNumber': '78'},6850000,total,CZK,4.9,None,None,None,None,None
pricelists,5e55381a7caef19155d960c0,None,FREE,None,https://bytyuparkuberoun.lexxus.cz/,['https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082982ks0s5-lexxus-projekt-beroun-1.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703328qrvt9-03-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703299jlp5y-02-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082732vrx3v-lexxus-projekt-beroun-23.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703359ow7wn-04-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606083207x384g-lexxus-projekt-beroun-30.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606222004t6vve-lexxus-projekt-beroun-28.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703428ptnv9-lexxus-projekt-byty-u-parku-9a9a1810.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1591865464cn2wo-lexxus-projekt-prodej.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703617k5ufx-9a9a6627-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15731333044mgky-9a9a4897-102919.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15657036398xvdc-9a9a6607-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703646ypgmm-9a9a6649-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703663schxi-9a9a6582-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703655597mh-9a9a6669-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703670drmsa-9a9a6586-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/pricelist/unit_lex000123355_1.jpg'],https://img.flatzone.cz/23bacb7c4f5597c2/350x200,FLAT,SALE,NEW,PRECO GROUP s.r.o.,Rezidence Byty u Parku,58,PRIVATE,B,Na Náhonu; 266 01; Beroun,['4+kk'],[4],86.41,USABLE,None,86.41,None,None,5,{'lat': 49.9601136; 'lon': 14.0696603},{'address': 'Na Náhonu 78; Beroun; 266 01; okres Beroun'; 'country': 'Česko'; 'region': 'Středočeský kraj'; 'district': 'Beroun'; 'city': 'Beroun'; 'borough': None; 'neighborhood': 'Beroun-Město'; 'street': 'Na Náhonu'; 'houseNumber': '78'},8600000,total,CZK,4.2,None,None,None,None,None
pricelists,5e55381a7caef19155d960c6,None,FREE,None,https://bytyuparkuberoun.lexxus.cz/,['https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082982ks0s5-lexxus-projekt-beroun-1.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703328qrvt9-03-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703299jlp5y-02-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606082732vrx3v-lexxus-projekt-beroun-23.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703359ow7wn-04-lexxus-byty-u-parku-beroun-nove-byty-k-prodeji.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606083207x384g-lexxus-projekt-beroun-30.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1606222004t6vve-lexxus-projekt-beroun-28.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1619703428ptnv9-lexxus-projekt-byty-u-parku-9a9a1810.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1591865464cn2wo-lexxus-projekt-prodej.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703617k5ufx-9a9a6627-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15731333044mgky-9a9a4897-102919.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/15657036398xvdc-9a9a6607-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703646ypgmm-9a9a6649-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703663schxi-9a9a6582-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703655597mh-9a9a6669-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/photo/1565703670drmsa-9a9a6586-061019.jpg'; 'https://bytyuparkuberoun.lexxus.cz/upload/pricelist/unit_lex000123358_1.jpg'],https://img.flatzone.cz/23bacb7c4f5597c2/350x200,FLAT,SALE,NEW,PRECO GROUP s.r.o.,Rezidence Byty u Parku,63,PRIVATE,B,Na Náhonu; 266 01; Beroun,['4+kk'],[4],109.77,USABLE,None,109.77,None,None,6,{'lat': 49.9601136; 'lon': 14.0696603},{'address': 'Na Náhonu 78; Beroun; 266 01; okres Beroun'; 'country': 'Česko'; 'region': 'Středočeský kraj'; 'district': 'Beroun'; 'city': 'Beroun'; 'borough': None; 'neighborhood': 'Beroun-Město'; 'street': 'Na Náhonu'; 'houseNumber': '78'},9900000,total,CZK,24.42,None,None,None,None,None
